course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00940820,מבוא לחשבונאות,201801 to 202402,8,84.633,325,99.015,2.900,10,https://michael-maltsev.github.io/technion-histograms/00940820/,https://cheesefork.cf/?course=00940820&semester=202502
00950605,מבוא לפסיכולוגיה,201501 to 202402,15,86.138,1006,99.699,3.652,23,https://michael-maltsev.github.io/technion-histograms/00950605/,https://cheesefork.cf/?course=00950605&semester=202502
00960210,יסודות בינה מלאכותית וישומיה,201501 to 202401,9,78.414,1297,93.673,2.560,25,https://michael-maltsev.github.io/technion-histograms/00960210/,https://cheesefork.cf/?course=00960210&semester=202501
00960211,מודלים למסחר אלקטרוני,201502 to 202402,10,81.248,1363,93.474,2.212,66,https://michael-maltsev.github.io/technion-histograms/00960211/,https://cheesefork.cf/?course=00960211&semester=202502
00960224,ניהול מידע מבוזר,201702 to 202402,8,87.034,708,98.340,2.034,29,https://michael-maltsev.github.io/technion-histograms/00960224/,https://cheesefork.cf/?course=00960224&semester=202502
00960250,מערכות מידע מבוזרות,201502 to 202401,10,80.090,1178,96.994,3.200,30,https://michael-maltsev.github.io/technion-histograms/00960250/,https://cheesefork.cf/?course=00960250&semester=202501
00960266,חווית משתמש במערכות אינטראקטיביות,201901 to 202402,5,92.189,493,97.692,2.533,15,https://michael-maltsev.github.io/technion-histograms/00960266/,https://cheesefork.cf/?course=00960266&semester=202502
00960275,גורמי אנוש בדאטא,201801 to 202501,8,85.637,683,99.224,1.380,50,https://michael-maltsev.github.io/technion-histograms/00960275/,https://cheesefork.cf/?course=00960275&semester=202501
00960327,מודלים לא לינאריים בחקר ביצועים,201701 to 202402,8,76.923,862,94.173,3.550,20,https://michael-maltsev.github.io/technion-histograms/00960327/,https://cheesefork.cf/?course=00960327&semester=202502
00960411,למידה חישובית 1,201502 to 202402,15,80.892,1635,97.120,3.559,34,https://michael-maltsev.github.io/technion-histograms/00960411/,https://cheesefork.cf/?course=00960411&semester=202502
00960570,תורת המשחקים והתנהגות כלכלית,201302 to 202501,19,76.498,1582,90.342,3.714,35,https://michael-maltsev.github.io/technion-histograms/00960570/,https://cheesefork.cf/?course=00960570&semester=202502
00960600,התנהגות ארגונית,201601 to 202401,11,83.709,894,97.925,4.100,10,https://michael-maltsev.github.io/technion-histograms/00960600/,https://cheesefork.cf/?course=00960600&semester=202501
00960625,הצגת מידע חזותי וקוגניציה,201802 to 202402,7,90.283,1056,98.909,2.500,16,https://michael-maltsev.github.io/technion-histograms/00960625/,https://cheesefork.cf/?course=00960625&semester=202502
00970209,למידה חישובית 2,201802 to 202401,7,87.922,848,98.316,2.966,29,https://michael-maltsev.github.io/technion-histograms/00970209/,https://cheesefork.cf/?course=00970209&semester=202502
