course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00140710,מיסעות גמישות,201901 to 202301,5,76.425,194,93.701,3.000,1,https://michael-maltsev.github.io/technion-histograms/00140710/,https://cheesefork.cf/?course=00140710&semester=202501
00140719,פרויקט מורחב בתחבורה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140719/,https://cheesefork.cf/?course=00140719&semester=202501
00140720,פרויקט מורחב בתחבורה,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140720/,https://cheesefork.cf/?course=00140720&semester=202502
00140721,פרויקט בתכנון תחבורה,201902 to 202302,2,90.965,29,100.000,3.000,2,https://michael-maltsev.github.io/technion-histograms/00140721/,https://cheesefork.cf/?course=00140721&semester=202502
00140722,פרויקט בהנדסת תעבורה,202102 to 202402,3,92.678,59,100.000,4.000,2,https://michael-maltsev.github.io/technion-histograms/00140722/,https://cheesefork.cf/?course=00140722&semester=202502
00140723,פרויקט בתכן גיאומטרי של דרכים,201802 to 202401,2,88.152,33,91.091,,0,https://michael-maltsev.github.io/technion-histograms/00140723/,https://cheesefork.cf/?course=00140723&semester=202502
00140724,פרויקט במבנה דרכים,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140724/,https://cheesefork.cf/?course=00140724&semester=202502
00140725,מבוא לתחבורה מסילתית,201902 to 201902,1,70.667,33,94.000,,0,https://michael-maltsev.github.io/technion-histograms/00140725/,https://cheesefork.cf/?course=00140725&semester=202502
00140726,בטיחות בדרכים,202201 to 202201,1,85.300,10,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140726/,https://cheesefork.cf/?course=00140726&semester=202501
00140728,תכנון תשתיות תחבורה,201802 to 202401,4,84.180,111,95.387,4.500,2,https://michael-maltsev.github.io/technion-histograms/00140728/,https://cheesefork.cf/?course=00140728&semester=202501
00140730,מבוא להנדסת תחבורה,201701 to 202401,8,77.565,1077,94.085,2.500,6,https://michael-maltsev.github.io/technion-histograms/00140730/,https://cheesefork.cf/?course=00140730&semester=202401
00140731,מבוא לתכן מסעות,201802 to 202402,7,78.990,996,96.899,4.000,4,https://michael-maltsev.github.io/technion-histograms/00140731/,https://cheesefork.cf/?course=00140731&semester=202402
00140733,הנדסה וניהול של תנועה,201801 to 202301,7,73.766,351,89.932,2.333,3,https://michael-maltsev.github.io/technion-histograms/00140733/,https://cheesefork.cf/?course=00140733&semester=202501
00140734,תחבורה ציבורית,202001 to 202301,4,81.772,136,97.882,1.625,8,https://michael-maltsev.github.io/technion-histograms/00140734/,https://cheesefork.cf/?course=00140734&semester=202501
00140735,מבוא לתכן מיסעות,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140735/,https://cheesefork.cf/?course=00140735&semester=202502
00140779,תכן גיאומטרי ותפעול דרכים,201702 to 202402,7,74.477,524,92.032,3.000,2,https://michael-maltsev.github.io/technion-histograms/00140779/,https://cheesefork.cf/?course=00140779&semester=202502
00140814,חשבון תאום 1,201702 to 202302,7,69.632,201,87.960,,0,https://michael-maltsev.github.io/technion-histograms/00140814/,https://cheesefork.cf/?course=00140814&semester=202502
00140829,תחיקת המדידה,201801 to 202401,7,85.491,230,98.648,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140829/,https://cheesefork.cf/?course=00140829&semester=202501
00140831,מחנה גיאודזיה בקדסטר,201803 to 202403,6,85.266,168,95.929,5.000,1,https://michael-maltsev.github.io/technion-histograms/00140831/,https://cheesefork.cf/?course=00140831&semester=202403
00140841,יסודות המיפוי והמדידה 1,201502 to 202302,16,82.984,1498,96.616,3.571,14,https://michael-maltsev.github.io/technion-histograms/00140841/,https://cheesefork.cf/?course=00140841&semester=202502
00140842,יסודות המיפוי והמדידה 2,201701 to 202401,8,82.808,209,97.158,3.000,1,https://michael-maltsev.github.io/technion-histograms/00140842/,https://cheesefork.cf/?course=00140842&semester=202501
00140843,פוטוגרמטריה 1,201801 to 202201,5,67.262,149,87.785,,0,https://michael-maltsev.github.io/technion-histograms/00140843/,https://cheesefork.cf/?course=00140843&semester=202501
00140845,תכנות מונחה עצמים למידע גיאוגרפי,201602 to 202402,9,78.541,489,95.689,3.000,2,https://michael-maltsev.github.io/technion-histograms/00140845/,https://cheesefork.cf/?course=00140845&semester=202502
00140846,מסדי נתונים גיאו,201701 to 202301,7,79.872,219,94.164,,0,https://michael-maltsev.github.io/technion-histograms/00140846/,https://cheesefork.cf/?course=00140846&semester=202501
00140848,מבוא לגיאודזיה,201701 to 202401,8,63.084,261,76.287,,0,https://michael-maltsev.github.io/technion-histograms/00140848/,https://cheesefork.cf/?course=00140848&semester=202501
00140849,גיאודזיה מתמטית,201702 to 202402,7,85.648,187,97.412,,0,https://michael-maltsev.github.io/technion-histograms/00140849/,https://cheesefork.cf/?course=00140849&semester=202502
00140851,רשתות בקרה גיאודטיות,201801 to 202201,5,80.487,117,99.043,4.000,1,https://michael-maltsev.github.io/technion-histograms/00140851/,https://cheesefork.cf/?course=00140851&semester=202501
00140852,מדידות ג'.פ.ס.,201802 to 202202,5,77.792,126,96.857,,0,https://michael-maltsev.github.io/technion-histograms/00140852/,https://cheesefork.cf/?course=00140852&semester=202502
00140853,מדידות הנדסיות מיוחדות,201802 to 202402,6,85.992,146,98.733,,0,https://michael-maltsev.github.io/technion-histograms/00140853/,https://cheesefork.cf/?course=00140853&semester=202502
00140855,עבוד תמונה לצורכי מיפוי,201801 to 202101,3,89.595,42,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140855/,https://cheesefork.cf/?course=00140855&semester=202501
00140856,עיבוד וניתוח מידע מרחבי תלת ממדי,201902 to 201902,1,90.900,10,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140856/,https://cheesefork.cf/?course=00140856&semester=202502
00140857,מערכות מידע גיאוגרפי 1,201802 to 202202,4,81.346,78,98.769,,0,https://michael-maltsev.github.io/technion-histograms/00140857/,https://cheesefork.cf/?course=00140857&semester=202502
00140859,מיפוי ימי,201802 to 202402,6,82.135,130,97.000,1.000,1,https://michael-maltsev.github.io/technion-histograms/00140859/,https://cheesefork.cf/?course=00140859&semester=202502
00140863,מחנה מדידות 1,201703 to 202203,6,80.509,177,89.814,,0,https://michael-maltsev.github.io/technion-histograms/00140863/,https://cheesefork.cf/?course=00140863&semester=202403
00140864,מחנה מדידות 2,201803 to 202203,5,85.589,107,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140864/,https://cheesefork.cf/?course=00140864&semester=202403
00140866,סמינר במיפוי וגיאו,201902 to 202202,3,87.524,42,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140866/,https://cheesefork.cf/?course=00140866&semester=202502
00140867,פרויקט בגיאודזיה ומדידות 1,201901 to 202301,6,94.244,86,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140867/,https://cheesefork.cf/?course=00140867&semester=202502
00140868,פרויקט מתקדם במיפוי וגיאו,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140868/,https://cheesefork.cf/?course=00140868&semester=202502
00140869,פרויקט במיפוי ספרתי 1,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140869/,https://cheesefork.cf/?course=00140869&semester=202502
00140877,"כרטוגרפיה ומבוא לממ""ג",201702 to 202302,7,88.828,203,98.493,,0,https://michael-maltsev.github.io/technion-histograms/00140877/,https://cheesefork.cf/?course=00140877&semester=202502
00140878,מיפוי ממוחשב,201702 to 202402,7,85.624,181,97.265,,0,https://michael-maltsev.github.io/technion-histograms/00140878/,https://cheesefork.cf/?course=00140878&semester=202502
00140879,מיפוי נושאי,,0,,,,,0,https://michael-maltsev.github.io/technion-histograms/00140879/,https://cheesefork.cf/?course=00140879&semester=202501
00140881,יסודות המיפוי והמדידה 1ג',201602 to 202402,9,79.297,261,94.222,4.400,5,https://michael-maltsev.github.io/technion-histograms/00140881/,https://cheesefork.cf/?course=00140881&semester=202502
00140882,ניהול מקרקעין,202202 to 202202,1,91.400,20,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140882/,https://cheesefork.cf/?course=00140882&semester=202502
00140885,קדסטר 2,202201 to 202201,1,91.400,20,100.000,,0,https://michael-maltsev.github.io/technion-histograms/00140885/,https://cheesefork.cf/?course=00140885&semester=202501
00140888,קדסטר 1,201802 to 202402,6,83.325,198,93.889,4.000,1,https://michael-maltsev.github.io/technion-histograms/00140888/,https://cheesefork.cf/?course=00140888&semester=202502
00140889,פוטוגרמטריה 2,201902 to 201902,1,86.154,13,100.000,2.667,3,https://michael-maltsev.github.io/technion-histograms/00140889/,https://cheesefork.cf/?course=00140889&semester=202502
